menu,link,foods,foodsAmount,image,sauces,saucesAmount,memo
팽이버섯덮밥,https://www.youtube.com/watch?v=03Yl1ZIUuTM,"""팽이버섯,양파""","""300g,1/2개""",EnokiMushroomRice Bowl,"""고추장,돈가스소스,설탕,후추,참기름""","""1/2스푼,2스푼,1/2스푼,조금,조금""",
김치볶음밥,https://www.youtube.com/watch?v=9uNNY-78-Zg,"""김치,대파,달걀""","""3스푼,1대,1개""",KimchiFriedRice,"""진간장,설탕,고춧가루,쌈장,마요네즈,식용유""","""1/2스푼,1/2스푼,1/2스푼,1/2스푼,1,2스푼""",모짜렐라 치즈
삼겹양배추덮밥,https://www.youtube.com/watch?v=0dI5URtcX0A,"""돼지고기,양배추,대파""","""250g,250g,1단""",SamgyeopCabbageRiceBowl,"""다진마늘,고춧가루,된장,굴소스,설탕""","""1스푼,1스푼,1/2스푼,1스푼,1스푼""",
대패숙주볶음밥,https://www.youtube.com/watch?v=MwmxZcuXmjo,"""돼지고기,숙주,부추""","""200g,1줌,1줌""",DaepaeSukjuFriedRice,"""다진마늘,멸치액젓,굴소스,설탕,식초""","""1스푼,1스푼,1/2스푼,1/2스푼,1스푼""",
나폴리탄스파게티,https://www.youtube.com/watch?v=QW_7h71oiw0,"""소시지,양파,피망,달걀""","""200g,1/2개,1/4개,1개""",NeapolitanSpaghetti,"""식용유,케찹,돈가스소스""","""2스푼,5스푼,2스푼""",파스타면
감자전,https://www.youtube.com/watch?v=T-Q8LUlkWj4,"""감자,양파,돼지고기""","""5알,1/2개,40g""",PotatoPancakes,"""소금,식용유""","""1/4스푼,5스푼""",
양송이파스타,https://www.youtube.com/watch?v=V2BdvjNj28M,"""양파,양송이버섯,버터,우유""","""1개,60g,1스푼,2컵""",MushroomPasta,"""식용유""","""2스푼""",파스타면
쌈장돼지숙주볶음,https://www.youtube.com/watch?v=4STedxyR8qc,"""돼지고기,양파,숙주""","""200g,1/2개,1줌""",StirFriedPorkBelly,"""식용유,소금,쌈장,돈가스소스,설탕""","""2스푼,조금,1스푼,1스푼,1/2스푼""",
양배추덮밥,https://www.youtube.com/watch?v=Djo_xRjQjv8,"""돼지고기,양배추""","""200g,1/4개""",CabbageRiceBowl,"""소금,후추,다진마늘,설탕,굴소스,돈가스소스""","""조금,조금,1/2스푼,1/2스푼,1스푼,1스푼""",
콩나물찌개,https://www.youtube.com/watch?v=ItQtrM8p6A0,"""돼지고기,대파,콩나물,양파""","""150g,1대,2줌,1/4개""",BeanSproutStew,"""식용유,다진마늘,고춧가루,멸치액젓""","""2스푼,1스푼,1스푼,1스푼""",
치킨난반,https://www.youtube.com/watch?v=JQUeuvCH1V0,"""닭고기,달걀,양파""","""350g,2개,1/2개""",ChickenNanban,"""소금,전분가루,식용유,진간장,설탕,식초,마요네즈,케찹""","""조금,3스푼,2스푼,2스푼,2스푼,2스푼,3스푼,1스푼""",
순두부참치비빔밥,https://www.youtube.com/watch?v=Nhiv2vKg13A,"""순두부,양파""","""1/2개,1/2개""",SundubuTunaBibimbap,"""고추장,진간장,설탕,케찹,다진마늘,참기름""","""1스푼,1스푼,1스푼,1/2스푼,1/2스푼,1스푼""",참치캔
단무지카레볶음밥,https://www.youtube.com/watch?v=hyCfPckKBiw,"""대파,달걀""","""1개,2개""",RadishCurryFriedRice,"""식용유,카레가루,케찹,참기름""","""2스푼,2스푼,1/2스푼,1/3스푼""",단무지
허니치킨,https://www.youtube.com/watch?v=bqG9VAyv_Oc,"""닭고기""","""350g""",HoneyChicken,"""소금,후추,굴소스,식초,감자전분,식용유,진간장,꿀,다진마늘""","""조금,조금,1스푼,2스푼,5스푼,2스푼,2스푼,2스푼,1/2스푼""",
오므라이스,https://www.youtube.com/watch?v=AlK2Gl6kHZI,"""양파,당근,달걀""","""1/6개,1/4컵""",OmeletteRice,"""밀가루,식용유,케첩,간장,설탕,식초,미림,소고기다시다""","""1스푼,4스푼,2스푼,3스푼,2스푼,1스푼,2스푼,1/3스푼""",
달걀볶음밥,https://www.youtube.com/watch?v=kR77WlHRZrs&t=3s,"""대파,달걀""","""1/2컵,2개""",EggFriedRice,"""식용유,진간장,맛소금""","""4스푼,1/2스푼,1g""",
달걀말이,https://www.youtube.com/watch?v=T7YJviWhquo,"""달걀,당근,대파""","""6,1/5컵,1/2컵""",EggRoll,"""꽃소금,설탕,식용유""","""1/6스푼,조금,3스푼""",
소고기미역국,https://www.youtube.com/watch?v=xsTFsunt6-8,"""소고기""","""100g""",BeefSeaweedSoup,"""참기름,국간장,다진마늘,멸치액젓""","""2스푼,3스푼,2/3스푼,2스푼""",자른미역 1/3컵
돼지고기김치찌개,https://www.youtube.com/watch?v=qWbHSOplcvY,"""돼지고기,신김치,청양고추,대파""","""130g,3컵,2개,2/3대""",PorkKimchiStew,"""다진마늘,고춧가루,국간장,새우젓""","""1스푼,2스푼,1스푼,1스푼""",
소불고기,https://www.youtube.com/watch?v=nVzwOOJLt24,"""소고기,양파,표고버섯,대파,고추""","""500g,1/2개,2개,1대,1개""",BeefBulgogi,"""설탕,물엿,다진마늘,진간장,참기름""","""3스푼,1스푼,1스푼,5스푼,3스푼""",
춘천닭갈비,https://www.youtube.com/watch?v=HI8DlDs1gko,"""닭고기,감자,양파,청양고추,대파,양배추,마늘""","""350g,1/2개,1/2개,2개,1컵,1컵,15개""",ChuncheonDakgalbi,"""고추장,설탕,고춧가루,맛술,진간장,다진마늘,참기름""","""1컵,1컵,1컵,1컵,1컵,1컵,2스푼""",
콩나물불고기,https://www.youtube.com/watch?v=BDexkgHaEek,"""돼지고기,콩나물,대파""","""300g,300g,1대""",BeanSproutBulgogi,"""식용유,설탕,진간장,고추장,굴소스,다진마늘,고춧가루,후추""","""2스푼,1스푼,1스푼,1스푼,1스푼,1스푼,1스푼,1스푼""",
달걀두부조림,https://www.youtube.com/watch?v=HzA9yr7OJk8,"""두부,팽이버섯,달걀,양파,대파,청양고추""","""1모,1개,1개,1/2개,1대,1개""",StewedEggTofu,"""진간장,멸치액젓,굴소스,설탕,고춧가루,다진마늘""","""1스푼,1스푼,1스푼,1스푼,2스푼,1스푼""",
소보로덮밥,https://www.youtube.com/watch?v=FS30zCcz02M,"""돼지고기,달걀,대파""","""150g,3알,1줌""",SoboroRiceBowl,"""소금,설탕,다진마늘,진간장,설탕,식초""","""조금,조금,1/2스푼,2스푼,1스푼,1스푼""",
